temperature,eCO2Value,iaqScore,iaqPercent,humidity
23.91,337,25,95,32
23.91,337,25,95,32
23.91,337,25,95,32
23.91,337,25,95,32
23.94,337,25,95,32
23.94,337,25,95,32
25.26,317,20,96,35
26.08,317,20,96,35
26.21,317,20,96,35
26.27,317,20,96,35
26.32,317,20,96,35
26.34,299,15,97,36
26.32,299,15,97,36
26.39,317,20,96,35
26.57,317,20,96,34
26.58,317,20,96,34
26.58,317,20,96,34
26.59,317,20,96,34
26.58,317,20,96,34
26.54,337,25,95,33
26.5,337,25,95,33
26.92,358,30,94,31
27.01,358,30,94,31
27.01,358,30,94,31
27.1,358,30,94,31
27.1,358,30,94,31
27.15,358,30,94,31
27.15,358,30,94,31
27.18,358,30,94,31
27.23,358,30,94,31
27.23,358,30,94,31
27.3,358,30,94,31
27.3,358,30,94,31
27.33,358,30,94,31
27.36,358,30,94,31
27.36,358,30,94,31
27.34,358,30,94,31
27.34,358,30,94,31
26.76,380,35,93,30
26.76,380,35,93,30
26.73,380,35,93,30
23.46,337,25,95,32
23.44,337,25,95,32
23.46,358,30,94,31
23.49,358,30,94,31
23.53,358,30,94,31
23.56,358,30,94,31
23.6,358,30,94,31
23.64,358,30,94,31
23.67,358,30,94,31
23.71,358,30,94,31
26.76,429,45,91,27
26.63,429,45,91,27
26.57,429,45,91,26
26.53,429,45,91,26
26.5,455,50,90,25
26.49,455,50,90,25
26.48,455,50,90,25
26.47,455,50,90,25
26.3,429,45,91,26
26.23,429,45,91,26
26.2,429,45,91,26
26.18,429,45,91,26
26.18,455,50,90,25
26.17,455,50,90,25
26.17,455,50,90,25
26.18,455,50,90,25
26.3,455,50,90,25
25.58,429,45,91,26
25.56,429,45,91,26
25.53,429,45,91,26
25.48,429,45,91,26
25.46,429,45,91,26
25.43,429,45,91,26
25.42,429,45,91,26
25.4,429,45,91,26
25.39,429,45,91,26
25.5,429,45,91,26
25.05,429,45,91,27
25.05,429,45,91,27
25.05,429,45,91,27
25.06,429,45,91,27
25.05,429,45,91,27
25.06,429,45,91,27
25.06,429,45,91,27
25.07,429,45,91,27
25.07,429,45,91,27
25.07,429,45,91,27
26.08,250,0,100,40
26.4,265,5,99,39
26.68,265,5,99,39
26.9,281,10,98,38
27.07,281,10,98,37
27.2,317,20,96,35
27.35,337,25,95,32
27.39,358,30,94,31
27.41,380,35,93,30
25.21,429,45,91,26
25.23,429,45,91,26
25.28,429,45,91,26
25.34,429,45,91,26
25.4,455,50,90,25
25.46,455,50,90,25
25.51,455,50,90,25
25.55,455,50,90,25
25.59,455,50,90,25
25.63,455,50,90,25
25.56,429,45,91,27
